date,AltcoinPsycho__conf,CarpeNoctom__conf,CryptoHayes__conf,DavidDuong__conf,JSeyff__conf,TraderMercury__conf,_Checkmatey___conf,rektcapital__conf,confidence_mean,voters_count,y_pred,confidence_mean_decayed,weights_sum,days_in_window
2025-10-05,75.0,86.0,100.0,53.0,46.0,69.0,45.0,63.0,67.125,8,LONG,67.125,1.0,1
2025-10-06,75.0,89.0,75.0,54.0,45.0,69.0,44.0,64.0,64.375,8,LONG,65.75,2.0,2
2025-10-07,75.0,91.0,75.0,56.0,64.0,70.0,38.0,66.0,66.875,8,LONG,66.09051724137932,2.9,3
2025-10-08,75.0,94.0,75.0,57.0,65.0,72.0,36.0,66.0,67.5,8,LONG,66.49157681940702,3.71,4
2025-10-09,75.0,96.0,84.0,58.0,67.0,73.0,34.0,66.0,69.125,8,LONG,67.10754111286326,4.439,5
2025-10-10,75.0,97.0,84.0,79.0,67.0,81.0,33.0,59.0,71.875,8,LONG,68.08283203469999,5.0951,6
2025-10-11,75.0,69.0,85.0,82.0,68.0,80.0,36.0,58.0,69.125,8,LONG,68.33282979426937,5.68559,7
2025-10-12,75.0,63.0,85.0,85.0,69.0,80.0,37.0,57.0,68.875,8,LONG,68.43277898646475,6.217031,8
2025-10-13,75.0,60.0,91.0,87.0,69.0,84.0,35.0,47.0,68.5,8,LONG,68.44942389416059,6.6953279000000006,9
2025-10-14,75.0,58.0,94.0,89.0,70.0,84.0,32.0,44.0,68.25,8,LONG,68.42214745966082,7.12579511,10
2025-10-15,75.0,56.0,95.0,91.0,70.0,84.0,30.0,42.0,67.875,8,LONG,68.34703152585188,7.5132155990000005,11
2025-10-16,75.0,47.0,96.0,93.0,71.0,85.0,30.0,36.0,66.625,8,LONG,68.12199228344564,7.861894039100001,12
2025-10-17,75.0,44.0,90.0,94.0,71.0,67.0,31.0,35.0,63.375,8,LONG,67.52306023657182,8.175704635190002,13
2025-10-18,75.0,43.0,89.0,95.0,72.0,64.0,32.0,25.0,61.875,8,LONG,66.8062512882655,8.458134171671002,14
2025-10-19,75.0,34.0,89.0,96.0,72.0,61.0,32.0,33.0,61.5,8,LONG,66.11101544268084,8.458134171671002,14
2025-10-20,75.0,33.0,88.0,97.0,73.0,58.0,33.0,40.0,62.125,8,LONG,65.6374068343845,8.458134171671002,14
2025-10-21,75.0,31.0,87.0,98.0,73.0,63.0,33.0,45.0,63.125,8,LONG,65.26164700000247,8.458134171671002,14
2025-10-22,75.0,41.0,93.0,59.0,73.0,62.0,27.0,51.0,60.125,8,LONG,64.56181523094975,8.458134171671002,14
2025-10-23,75.0,26.0,93.0,59.0,74.0,62.0,25.0,55.0,58.625,8,LONG,63.67031872069339,8.458134171671002,14
2025-10-24,75.0,20.0,94.0,63.0,74.0,62.0,22.0,59.0,58.625,8,LONG,62.767593564599736,8.458134171671002,14
2025-10-25,75.0,25.0,94.0,55.0,74.0,63.0,19.0,65.0,58.75,8,LONG,62.052563486357414,8.458134171671002,14
